Q1,Q2,Q3,Q4,Q5,Q6,Q46,Q47,Q48,Q49,Q50,Q112,Q164,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Gender,Age,Marital,Employment,Class,Ethnic,Urban_Rural
1,2,3,3,2,2,2,4,5,8,4,10,9,4,4,4,4,4,4,4,4,4,4,2,18,6,6,4,458012,2
1,2,2,2,2,1,3,3,5,5,8,8,5,2,3,2,3,2,1,2,2,2,2,1,19,6,1,2,458004,2
1,2,2,3,1,1,2,2,4,4,3,10,9,3,4,1,1,3,3,1,3,2,2,1,49,1,3,3,458004,2
1,3,1,3,1,1,2,2,9,9,2,9,10,2,2,2,2,2,2,2,2,2,2,2,47,1,3,3,458004,2
1,1,1,1,1,1,1,1,6,8,7,5,10,2,3,3,3,2,2,3,3,2,2,2,38,1,3,2,458004,2
1,2,2,1,1,1,1,2,8,9,10,9,10,1,2,1,1,1,2,1,2,1,2,1,44,1,1,3,458004,2
1,3,2,2,1,1,2,3,8,6,7,4,5,3,3,3,3,3,3,3,3,3,3,1,25,6,1,3,458004,2
1,1,2,1,1,1,1,2,7,9,10,8,8,1,3,3,3,3,3,3,3,3,3,2,66,1,5,3,458004,2
1,2,1,1,1,1,1,1,10,10,10,7,10,1,4,4,4,1,1,4,4,4,1,1,41,1,1,2,458004,2
1,1,2,2,1,3,2,2,7,7,7,7,5,2,3,3,3,3,3,3,3,3,3,2,54,1,3,4,458012,2
1,1,2,3,1,1,2,3,6,6,5,7,7,2,2,1,3,3,2,2,2,2,2,1,27,1,1,2,458004,2
1,1,1,2,1,1,2,2,10,5,6,6,10,2,2,2,2,3,2,1,2,2,2,1,18,6,6,2,458014,2
1,2,2,3,1,1,2,1,8,7,5,5,10,2,2,2,2,2,2,3,3,3,3,1,21,6,6,3,458004,2
1,1,1,2,4,1,3,3,6,8,8,8,10,2,3,2,3,2,2,3,4,2,1,1,68,1,4,3,458004,2
1,3,3,2,1,2,2,2,10,10,6,7,10,2,2,3,3,3,2,3,3,3,2,2,34,1,1,4,458012,2
1,2,2,2,1,1,2,2,7,7,7,8,10,3,3,3,1,3,3,3,3,3,3,1,38,1,1,3,458012,2
1,2,1,2,1,1,2,2,7,6,5,8,10,2,3,2,2,3,2,2,3,2,2,1,37,1,1,3,458004,2
1,2,2,3,1,2,2,2,9,9,6,10,8,1,1,1,2,2,4,2,3,1,1,1,32,1,1,4,458012,2
1,2,1,1,2,1,3,3,5,6,6,5,10,1,2,3,3,3,1,3,3,1,1,1,27,6,1,3,458004,2
1,1,2,1,1,1,3,3,7,6,5,5,10,2,3,3,3,2,2,3,3,2,3,1,46,1,1,3,458004,2
1,2,2,2,1,1,2,3,4,8,8,4,10,1,3,2,3,2,2,3,2,2,2,1,48,1,3,5,458004,2
1,1,2,2,2,1,2,1,5,4,4,10,10,3,2,1,1,4,3,1,2,4,1,1,28,6,3,5,458004,2
1,2,2,2,1,1,1,1,9,9,7,8,10,2,3,1,1,3,1,2,3,2,2,2,35,1,1,4,458004,2
1,2,1,4,1,1,2,2,8,8,6,7,10,3,3,1,2,2,3,2,3,3,2,2,37,1,5,3,458004,2
1,2,2,2,1,1,1,1,7,10,10,5,10,1,3,3,3,1,1,3,3,3,3,1,46,1,1,2,458004,2
1,3,2,2,1,1,2,2,8,6,5,10,10,3,2,1,1,3,3,1,3,3,2,2,33,1,3,3,458004,2
1,2,1,3,3,2,1,2,9,10,9,6,10,4,3,2,4,4,3,4,4,4,4,2,57,1,5,3,458012,2
1,3,1,3,2,3,2,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,1,25,6,3,3,458014,2
1,1,3,3,1,1,1,1,6,9,10,8,10,1,3,3,3,3,3,3,3,3,3,2,27,6,7,3,458014,2
1,1,1,3,1,1,2,1,10,8,1,10,10,4,2,2,1,3,3,2,1,1,1,2,25,6,1,5,458012,2
1,1,1,1,1,1,1,2,8,8,8,8,10,2,2,2,1,2,2,1,2,2,2,2,57,1,1,3,458004,2
1,2,3,2,1,1,2,2,9,5,5,6,6,2,2,2,2,2,2,2,2,2,2,1,18,6,6,2,458014,2
1,1,1,3,1,1,2,2,10,10,10,10,10,1,2,3,1,3,2,1,2,3,3,2,40,1,5,3,458004,2
1,2,2,3,2,3,1,3,6,6,6,5,5,2,2,2,2,2,2,2,2,2,2,2,42,1,3,3,458012,2
1,2,2,3,2,2,1,3,10,10,5,10,9,2,2,2,2,2,2,2,2,2,2,1,42,1,3,3,458012,2
1,2,2,4,1,1,2,1,8,7,8,10,10,4,3,4,1,2,3,3,2,3,2,1,25,6,3,4,458004,2
1,2,2,3,2,2,1,3,7,7,8,7,9,2,2,2,2,2,2,2,2,2,2,2,65,5,3,3,458012,2
2,2,2,4,2,2,1,1,8,8,8,9,10,3,3,3,3,3,3,3,3,3,3,2,20,6,1,3,458012,2
1,1,1,4,2,2,2,2,9,9,2,10,5,2,2,2,2,2,2,2,2,2,2,1,53,6,1,3,458012,2
1,3,1,2,1,1,2,1,6,5,5,3,10,3,3,2,3,3,3,3,3,3,3,2,34,1,3,5,458004,2
1,2,2,4,2,2,1,2,7,5,5,7,9,3,3,2,3,2,3,3,3,3,2,2,44,1,3,3,458012,2
1,2,1,3,2,1,1,1,10,10,7,10,10,3,3,2,2,2,2,2,3,2,2,2,19,6,6,4,458004,2
1,2,1,2,2,1,2,3,7,8,6,8,10,2,3,2,2,2,2,2,2,2,2,2,51,1,5,3,458004,2
1,2,2,3,1,1,2,3,6,6,5,6,10,2,3,2,2,2,2,3,3,2,2,2,53,1,5,5,458012,2
1,3,1,2,1,1,1,2,10,10,10,7,10,1,1,1,4,1,1,4,4,1,1,2,35,5,1,3,458004,2
1,2,2,2,2,1,2,2,7,7,7,8,10,3,3,2,1,3,3,2,2,2,2,1,27,6,1,4,458004,2
1,1,1,3,1,1,2,2,7,7,7,7,10,2,3,2,2,2,2,2,3,2,2,2,32,1,1,3,458004,2
1,2,2,3,1,1,2,3,5,5,5,10,10,4,2,2,2,2,3,2,2,2,3,2,36,1,1,4,458004,2
1,1,2,3,2,2,1,3,9,9,9,5,9,3,3,3,3,3,3,3,3,3,3,1,62,1,3,3,458012,2
2,2,2,4,2,2,2,3,8,8,7,8,9,2,2,2,2,2,2,2,2,2,2,2,48,1,5,3,458012,2
1,1,1,4,1,1,1,3,9,9,8,8,6,3,3,3,3,3,3,3,3,3,3,2,34,3,1,3,458004,2
1,2,2,4,2,2,1,2,9,9,7,8,9,2,2,2,2,2,3,3,2,2,2,1,63,1,1,3,458004,2
1,2,2,3,1,1,2,3,8,8,7,7,10,1,3,1,3,2,1,3,4,1,1,1,44,1,3,1,458004,2
1,2,1,1,1,1,1,2,10,9,10,10,10,3,2,2,2,2,3,3,3,3,3,2,60,1,3,2,458004,2
1,1,1,3,1,1,1,2,8,9,8,6,7,3,2,3,2,3,2,3,2,3,3,2,45,1,3,3,458004,2
1,2,1,1,1,1,1,1,10,10,10,10,10,1,4,4,1,3,2,3,3,3,2,2,20,6,1,3,458004,2
1,2,1,1,1,1,1,1,10,10,8,10,10,2,3,2,2,2,2,3,3,3,2,1,48,1,3,4,458012,2
1,1,1,4,1,1,2,2,7,7,8,7,10,1,1,1,1,1,1,1,1,1,1,2,33,6,7,3,458004,2
1,1,1,2,1,1,2,2,10,9,7,7,10,1,2,1,2,3,2,2,1,1,2,1,44,1,1,3,458004,2
1,2,2,3,2,1,2,2,4,5,6,7,10,2,3,3,2,2,2,3,2,2,2,2,21,6,1,4,458004,2
1,1,1,3,1,1,1,3,9,8,7,1,10,1,1,1,1,1,1,1,1,1,1,1,25,6,3,3,458004,2
1,2,1,4,1,1,1,2,9,8,8,8,8,1,1,2,2,2,2,1,2,2,2,2,30,1,5,3,458014,2
1,1,2,4,1,1,1,2,7,8,6,8,10,2,1,2,2,2,2,2,1,2,2,2,61,5,5,3,458004,2
1,2,2,3,1,1,2,1,10,10,10,9,8,1,1,1,1,1,1,1,3,1,1,1,19,6,3,3,458004,2
1,2,1,4,1,1,2,2,8,8,6,9,1,2,2,2,2,2,2,2,2,2,2,1,18,6,1,3,458004,2
1,1,2,3,3,4,2,2,7,6,6,6,6,1,2,3,1,4,4,3,2,3,3,1,19,6,1,2,458004,2
1,1,2,4,1,1,1,1,4,4,4,4,4,1,1,1,3,3,3,3,3,3,3,1,18,6,1,1,458004,2
1,2,1,2,2,1,2,2,7,7,7,8,10,2,4,4,4,3,2,4,4,4,2,2,48,1,2,3,458004,2
1,2,1,3,1,1,2,1,7,8,6,7,10,1,3,3,3,3,2,3,4,4,2,2,40,3,3,3,458004,2
1,2,2,2,1,1,2,2,6,6,6,5,9,2,3,4,3,2,2,3,4,1,1,1,33,1,1,4,458004,2
1,1,2,3,2,1,1,3,4,8,8,8,10,1,4,4,4,4,1,4,4,1,1,2,28,1,5,3,458004,2
1,2,3,4,1,1,1,1,10,10,10,10,10,3,4,2,1,2,3,1,2,2,2,1,42,1,3,3,458004,2
1,1,2,2,2,1,4,3,10,8,5,6,9,2,2,1,2,2,2,1,2,1,2,2,52,1,3,5,458004,2
1,2,2,1,2,2,2,4,6,6,5,6,6,1,3,4,4,4,4,3,3,4,4,1,65,1,3,2,458004,2
1,1,1,2,1,1,2,3,6,7,7,8,10,2,2,3,3,3,4,4,4,4,2,1,37,1,1,2,458004,2
1,1,1,2,1,1,3,2,5,7,3,7,10,3,4,1,1,4,3,2,3,1,2,1,43,6,1,4,458004,2
1,2,1,1,1,1,2,1,8,7,5,10,10,2,4,2,2,4,2,4,3,3,3,2,29,1,1,4,458004,2
1,2,2,3,1,1,2,2,8,8,6,9,8,2,1,1,2,1,3,2,1,1,2,2,30,1,5,2,458014,2
1,3,3,3,1,1,2,2,9,8,8,8,10,1,3,1,1,1,1,2,3,1,1,2,19,6,1,2,458012,2
1,1,1,3,1,1,2,1,5,6,6,6,10,2,2,2,3,3,3,3,3,3,3,1,19,6,6,3,458004,2
1,3,2,2,1,1,2,2,8,9,9,8,8,2,1,1,1,1,3,2,2,3,3,1,36,6,1,1,458004,2
1,1,1,1,1,1,2,3,6,6,5,9,10,1,2,2,2,2,2,2,2,2,2,1,50,1,3,4,458004,2
1,2,3,1,1,1,2,2,7,8,6,7,8,2,1,1,1,1,1,1,1,1,1,1,52,1,1,2,458004,2
1,2,2,4,1,2,2,3,10,9,7,10,8,3,2,2,1,3,3,2,3,3,2,2,25,6,1,4,458012,2
1,1,2,4,2,3,2,2,8,8,6,10,8,4,1,1,1,3,4,1,2,2,2,1,40,1,1,2,458012,2
1,1,2,4,2,3,2,2,8,8,8,6,8,4,2,2,2,2,3,2,2,2,2,1,21,6,6,5,458012,2
1,2,2,3,3,3,2,2,8,8,6,8,10,3,3,2,2,2,2,2,2,3,3,2,45,1,5,4,458004,2
1,1,1,2,1,1,2,2,8,7,7,6,10,3,3,2,2,3,3,2,3,3,2,1,31,1,1,4,458004,2
1,1,1,3,2,1,2,2,8,7,5,6,10,2,3,3,3,2,2,3,4,2,1,1,18,6,7,4,458004,2
1,3,3,3,3,1,2,4,4,5,6,10,8,3,2,2,1,3,3,2,2,3,2,2,52,1,5,3,458012,2
1,3,3,4,1,1,1,3,10,9,10,10,10,4,3,4,4,4,4,2,2,2,2,2,52,1,1,3,458004,2
1,3,3,4,4,4,1,1,8,10,9,10,8,4,4,4,1,4,4,1,4,4,2,1,40,1,1,4,458004,2
1,2,2,3,1,1,1,2,9,8,8,9,9,3,2,1,1,3,3,1,2,3,2,2,22,6,1,2,458004,2
1,2,2,3,2,2,1,1,9,9,8,10,10,4,2,1,1,4,4,1,2,2,3,1,26,6,1,3,458004,2
1,2,1,4,1,1,2,2,6,7,7,10,10,4,2,1,1,2,4,1,1,3,2,2,25,6,6,3,458004,2
2,2,2,2,2,3,2,2,6,6,6,5,6,3,3,3,3,3,3,3,3,3,3,2,35,6,1,3,458012,2
1,2,2,4,2,2,2,1,7,8,8,10,7,1,2,1,1,1,1,1,1,2,3,2,21,6,3,3,458012,2
1,2,1,4,1,1,3,2,7,6,7,10,10,4,2,1,1,1,4,1,1,2,3,2,37,3,3,4,458004,2
1,1,3,2,2,2,2,3,5,5,5,10,10,4,2,2,2,3,4,2,2,2,1,1,51,1,3,4,458004,2
1,2,2,3,1,2,1,1,10,10,8,10,10,4,1,1,1,4,4,1,1,1,3,2,19,6,7,5,458004,2
1,2,3,4,1,1,1,2,10,8,9,10,9,4,2,1,1,4,4,2,1,2,3,1,40,1,1,3,458004,2
1,2,2,4,1,1,2,2,10,10,10,10,9,4,2,1,1,1,4,1,1,2,3,2,42,1,1,4,458004,2
1,2,3,3,2,2,1,2,8,8,9,9,8,2,4,2,1,3,4,2,1,2,4,1,23,6,1,2,458004,2
1,1,1,3,1,1,1,1,9,8,8,7,9,2,2,2,2,2,2,2,2,2,2,1,19,6,3,3,458004,2
1,3,3,2,2,1,2,1,5,9,9,9,4,2,1,1,1,3,3,3,2,2,2,1,28,6,1,2,458004,2
1,1,3,2,2,1,3,3,8,2,3,10,10,4,2,1,1,4,4,1,1,2,2,1,30,1,3,3,458004,2
1,1,2,3,2,1,1,1,10,10,6,10,9,4,4,3,1,1,4,3,3,3,3,1,22,6,6,5,458004,2
2,1,2,3,3,2,2,3,7,7,8,10,9,3,2,3,2,2,2,3,2,2,2,1,45,1,1,3,458004,2
1,1,2,3,3,2,3,3,7,8,6,6,6,3,2,2,2,2,2,2,2,2,2,1,34,1,1,4,458004,2
1,2,1,3,1,1,2,2,8,8,8,10,10,4,2,1,1,4,4,1,1,1,2,1,27,6,1,3,458004,2
1,2,2,2,1,1,2,1,8,8,9,6,8,3,2,3,3,3,3,3,3,3,3,1,34,1,3,3,458004,2
1,3,2,3,2,2,2,2,7,7,7,10,8,2,2,2,2,2,2,2,2,2,2,1,32,1,3,3,458012,2
1,2,2,2,2,1,2,1,8,7,7,10,10,1,2,2,2,2,2,3,2,2,2,2,36,1,5,5,458004,2
1,2,3,3,1,1,3,3,6,6,5,9,6,2,2,2,2,2,2,2,2,2,3,2,50,1,1,2,458014,2
1,1,1,2,1,1,2,2,9,9,9,8,10,1,3,3,2,2,2,2,2,2,2,2,55,2,5,5,458004,2
1,2,3,2,1,2,2,1,10,8,10,9,8,3,1,1,2,2,3,3,4,3,1,2,53,1,1,4,458012,2
1,1,2,3,2,1,2,1,6,5,5,6,6,3,3,3,2,3,3,3,2,3,3,2,52,1,3,3,458012,2
1,2,2,3,2,2,2,2,5,5,5,10,8,2,2,3,2,2,3,2,3,2,3,2,51,5,5,5,458004,2
1,1,2,2,1,1,3,2,7,7,6,9,10,4,2,2,2,2,2,2,2,2,2,1,25,6,3,5,458004,2
1,1,1,2,1,1,2,2,8,8,8,10,10,4,1,1,1,3,4,1,1,4,3,1,51,2,1,4,458012,2
1,2,1,3,2,2,2,2,7,6,5,7,8,2,2,2,2,2,2,4,4,2,2,2,25,6,6,3,458004,2
1,2,3,3,1,1,2,3,6,8,8,8,10,3,2,2,2,3,2,3,3,3,2,2,28,6,1,4,458004,2
1,3,4,3,2,2,2,2,8,9,7,9,8,2,1,1,3,3,2,1,2,2,2,2,30,1,1,2,458004,2
1,3,3,2,2,1,3,2,7,3,8,10,10,4,2,2,2,2,2,2,4,2,2,2,53,1,5,5,458004,2
1,1,2,4,1,1,3,2,6,8,7,10,10,4,4,4,1,4,4,1,2,2,3,2,37,1,1,3,458012,2
1,2,2,4,1,1,2,2,6,7,8,10,10,4,2,2,2,2,4,2,2,2,3,1,27,6,1,3,458004,2
1,2,2,4,1,1,3,2,8,7,6,10,10,4,1,2,1,4,4,1,2,2,2,1,23,6,3,4,458004,2
1,1,1,3,1,1,2,3,6,6,6,6,7,3,3,2,2,3,3,2,2,3,3,2,34,1,5,3,458004,2
1,1,1,3,1,1,2,3,7,7,7,7,7,2,2,2,3,3,3,2,2,2,3,2,56,1,3,2,458012,2
1,1,1,3,1,1,2,2,8,9,7,8,8,2,2,2,4,1,2,2,2,2,2,2,41,1,1,3,458004,2
1,1,2,2,1,1,1,2,6,5,5,6,5,1,2,2,3,3,3,3,3,2,2,1,22,6,1,3,458004,2
1,1,1,3,1,1,2,2,8,8,10,10,10,4,1,1,1,1,4,1,1,4,2,1,32,2,1,5,458004,2
1,1,1,1,1,1,1,1,10,9,9,5,5,2,2,2,3,2,3,3,3,3,3,2,34,1,5,3,458012,2
1,2,2,4,3,2,2,2,8,8,6,10,10,4,2,2,2,3,3,2,2,2,3,2,38,1,5,4,458014,2
2,3,3,3,2,3,2,2,9,8,8,9,10,3,2,2,2,3,3,2,3,2,2,2,25,1,1,3,458004,2
1,1,1,4,3,2,2,2,8,7,7,6,8,3,3,3,3,3,3,3,3,3,3,1,19,6,6,4,458004,2
1,1,2,2,1,1,2,2,8,8,8,6,10,2,4,3,2,2,2,3,4,1,1,1,58,1,4,3,458004,2
1,1,1,1,1,1,2,2,5,7,8,4,10,1,4,4,4,1,1,4,4,1,1,1,43,1,1,4,458004,2
1,1,1,1,1,1,1,1,10,10,8,7,10,2,3,3,3,2,2,3,3,1,1,1,27,6,1,4,458014,2
1,3,2,4,2,2,2,3,5,6,8,9,8,3,2,2,2,3,3,2,3,2,2,2,52,1,5,3,458012,2
1,1,1,3,1,1,1,2,7,8,7,8,10,1,3,3,3,2,1,3,3,1,1,1,20,6,1,4,458004,2
1,1,1,1,2,2,2,1,6,7,7,5,6,1,1,2,4,4,4,4,4,4,4,1,31,1,1,3,458014,2
1,2,2,3,1,1,3,2,7,7,7,10,10,3,1,1,2,1,1,1,2,2,1,2,25,6,1,5,458004,2
1,1,1,2,1,1,1,1,7,6,5,5,6,2,2,2,3,3,3,3,2,2,3,1,65,1,1,3,458012,2
1,2,2,2,1,2,2,2,7,7,6,8,9,2,2,2,2,2,2,2,2,2,2,2,36,1,1,5,458004,2
1,1,1,2,1,1,1,1,10,10,10,8,8,2,2,2,2,2,2,2,2,2,2,2,53,1,1,5,458012,2
1,1,1,1,1,1,2,2,7,6,5,6,8,2,3,3,3,3,4,3,3,4,4,1,25,6,1,3,458004,2
1,1,2,3,1,2,3,1,9,8,8,10,10,4,1,1,1,1,1,1,1,1,4,1,26,6,3,5,458004,2
1,1,3,3,1,1,2,2,6,7,7,7,8,3,3,3,4,4,4,4,4,4,4,2,48,1,1,3,458012,2
2,2,2,2,2,2,2,2,8,7,7,10,7,2,2,2,2,2,2,2,2,2,2,1,55,1,1,2,458004,2
1,1,2,1,1,1,2,2,8,8,8,10,10,2,2,2,2,2,2,2,2,2,2,2,43,1,1,5,458014,2
1,2,2,2,1,1,3,2,9,6,5,10,10,4,2,2,2,2,2,2,2,2,2,2,51,1,5,5,458004,2
1,1,2,3,1,3,2,2,6,7,7,10,10,3,3,3,3,3,3,3,3,3,3,1,33,6,1,3,458012,2
1,1,1,1,1,1,2,2,8,7,7,6,5,1,1,2,4,4,4,4,4,4,4,2,53,1,3,1,458012,2
1,2,2,1,1,1,3,1,6,8,6,9,9,4,1,1,1,3,4,3,4,4,2,1,24,6,1,3,458012,2
1,2,3,3,2,1,2,2,7,7,7,9,4,3,3,2,2,2,4,4,2,4,2,1,18,6,1,3,458012,2
1,2,2,3,2,2,2,2,8,8,7,8,6,3,2,2,2,2,3,3,4,1,2,1,19,6,1,3,458012,2
1,2,3,2,1,1,2,2,7,8,8,8,8,4,2,2,2,3,3,3,4,2,2,1,19,6,1,2,458012,2
1,1,2,4,2,1,2,2,8,8,8,8,8,4,2,2,1,3,3,2,4,1,2,2,19,6,1,2,458012,2
1,3,2,3,2,1,2,2,8,7,8,8,10,3,2,1,3,3,2,4,4,4,2,2,59,1,3,3,458004,2
1,2,2,2,1,1,1,2,7,8,8,5,6,1,1,1,1,1,1,1,1,1,1,2,39,1,1,3,458004,2
1,1,1,3,1,1,1,1,8,8,7,5,9,1,1,2,1,1,1,1,1,1,1,1,36,1,1,2,458004,2
1,1,2,1,1,1,1,2,8,7,8,7,7,1,1,1,2,2,1,2,1,1,2,2,23,1,1,3,458004,2
1,2,4,4,2,1,1,2,8,8,8,3,8,3,1,1,3,2,3,4,3,1,3,2,58,5,3,5,458004,2
1,3,3,4,2,1,2,2,8,8,8,3,8,3,2,1,2,3,2,4,2,1,2,2,51,4,1,5,458004,2
1,1,2,4,2,1,1,2,8,8,8,9,10,1,3,1,4,2,1,4,4,1,2,2,52,1,5,5,458004,2
1,2,1,3,1,1,1,2,7,7,5,10,10,2,2,1,1,3,2,2,4,3,2,2,57,1,1,4,458012,2
1,2,2,3,2,1,1,1,8,8,8,8,9,3,3,2,3,2,3,2,3,2,2,2,23,1,1,3,458004,2
1,1,1,2,1,1,2,2,8,8,8,8,9,3,2,1,2,3,2,2,2,2,2,1,48,1,4,3,458004,2
1,1,1,3,2,1,1,1,10,10,10,10,10,2,3,2,2,3,2,3,4,2,2,1,42,1,1,3,458004,2
1,1,1,3,1,1,1,1,9,9,9,8,9,2,3,2,3,2,1,4,4,1,2,1,47,1,1,3,458004,2
2,3,3,4,1,1,1,1,6,10,5,10,10,1,2,2,4,1,1,4,4,2,2,1,57,1,3,5,458004,2
1,1,1,2,1,1,1,1,5,8,8,10,10,1,2,3,3,2,1,2,4,2,2,2,50,1,1,5,458004,2
1,1,1,2,1,1,1,1,4,10,10,8,10,1,2,2,3,2,2,4,2,2,2,1,58,1,1,5,458004,2
1,1,2,2,1,1,1,1,10,10,10,1,10,3,3,3,3,3,3,3,3,3,3,2,25,6,1,5,458004,2
1,1,3,2,1,1,2,1,10,10,6,8,10,2,2,3,3,2,2,4,4,4,4,2,25,6,1,5,458004,2
1,1,2,2,1,1,1,1,3,7,8,10,10,3,3,3,3,3,3,3,3,3,3,1,49,1,1,3,458004,2
1,1,2,3,1,1,2,1,9,8,8,6,6,2,4,2,4,2,2,2,2,2,2,2,50,1,5,3,458004,2
1,1,1,1,1,1,1,2,8,8,7,7,6,1,1,1,4,4,1,1,4,4,4,1,34,1,1,2,458004,2
1,1,1,3,2,1,1,2,8,6,5,5,5,1,2,1,4,1,1,1,2,2,2,2,39,1,5,2,458004,2
1,2,3,2,1,1,2,2,3,5,1,10,8,1,1,1,1,4,4,1,1,4,1,1,32,1,1,4,458004,2
1,2,3,3,1,1,2,2,8,7,8,5,10,1,3,2,3,3,2,3,4,2,2,2,52,1,5,3,458004,2
1,2,2,3,1,1,2,2,8,8,8,9,8,2,3,2,3,3,2,2,2,2,3,1,34,1,1,3,458004,2
1,1,2,3,1,1,1,2,8,8,6,9,7,3,2,2,4,3,3,3,4,3,2,1,25,1,1,3,458004,2
1,2,2,3,1,1,2,1,7,9,5,8,8,2,3,2,1,2,2,3,3,3,2,1,37,1,1,2,458004,2
